200
qstr_Careful... Careful...
qstr_{s32}_quick_pace! {s32},_quick_pace!
qstr_{s32}_form_line! {s32},_form_line!
qstr_{s32}_form_column! {s32},_form_column!
qstr_{s32}_form_square! {s32},_form_square!
qstr_{s32}_skirmish_order {s32},_skirmish_order!
qstr_{s32}_wheel_left! {s32},_wheel_left!
qstr_{s32}_wheel_right! {s32},_wheel_right!
qstr_{s32}_adjust_formati {s32},_adjust_formation!
qstr_When_the_agent_dies_ When_the_agent_dies_The_instance_id_is_{reg4}_and_the_times_this_bandages_has_been_used_is_{reg3}
qstr_Bleeding_value_is_{r Bleeding_value_is_{reg1}
qstr_Splash_=_{reg1}__Age Splash_=_{reg1}_|_Agent_num_is_{reg2}
qstr_In_the_server_event_ In_the_server_event,_{reg1}_,_{reg2}_,_{reg3}
qstr_You_can_only_put_an_ You_can_only_put_an_attachment_on_a_gun_if_you_have_one_compatible_attachment_in_your_inventory._Drop_one_and_try_again.
qstr_Removing_this_attach Removing_this_attachment_will_take_3_seconds._Movement_will_cancel_the_action.
qstr_{reg0}_seconds_remai {reg0}_seconds_remaining...
qstr_Removal_of_attachmen Removal_of_attachment_cancelled!
qstr_Your_gun_has_broken! Your_gun_has_broken!
qstr_There_s_nothing_in_t There's_nothing_in_this_container.
qstr_You_ve_looted_a_{s0} You've_looted_a_{s0}.
qstr_This_container_has_a This_container_has_already_been_looted.
qstr_This_container_hasn_ This_container_hasn't_yet_been_looted.
qstr_You_can_t_carry_more You_can't_carry_more_than_one_of_that_item_at_a_time!
qstr_You_need_to_have_Mop You_need_to_have_Moprhine_Ampoules_equipped_to_refill_them!
qstr_You_don_t_need_to_re You_don't_need_to_refill_your_Morphine_Ampoules.
qstr_You_successfully_ref You_successfully_refilled_your_Morphine._Morphine_Ampoules_remaining:_5
qstr_You_don_t_need_to_ref You_don't_need_to_refill_your_ammo!
qstr_You_successfully_refi You_successfully_refilled_your_ammo!_Remaining_ammo_in_the_box:_{reg1}
qstr_This_box_is_empty This_box_is_empty
qstr_You_need_to_have_a_L You_need_to_have_a_Light_Machine_gun_equipped_in_order_to_refill_your_MG_ammo
qstr_You_don_t_have_pisto You_don't_have_pistol_ammo_to_refill
qstr_Your_weapon_needs_to Your_weapon_needs_to_be_in_shooting_stance_in_order_to_attach_a_bayonet_to_it
qstr_You_need_to_have_Ban You_need_to_have_Bandages_equipped_to_refill_them!
qstr_You_don_t_need_to_refi You_don't_need_to_refill_your_Bandages.
qstr_You_successfully_refil You_successfully_refilled_your_Bandages._Bandages_remaining:_5
qstr_This_weapon_supports This_weapon_supports_attachments,_but_you_don't_have_the_correct_one_equipped.
qstr_Out_of_grenade_launc Out_of_grenade_launcher_ammo
qstr_You_need_to_be_eithe You_need_to_be_either_an_officer_or_a_sentry_to_perform_this_action.
qstr_Target_spotted! Target_spotted!
qstr_Leave? Leave?
qstr_You_run_out_of_pisto You_run_out_of_pistol_magazines
qstr_You_run_out_of_rifle You_run_out_of_rifle_magazines
qstr_You_can_only_fire_th You_can_only_fire_this_weapon_while_crouching
qstr_You_can_only_aim_wit You_can_only_aim_with_this_weapon_while_crouching
qstr_Spotted_artillery__i Spotted_artillery__is_{reg1}_._Y_is_{reg2}_._Z_of_{reg3}
qstr_Splash_OUT Splash,_OUT
qstr_SERVER SERVER
qstr_Clear_the_bridge_of_ Clear_the_bridge_of_all_powder_crates_while_the_marshals_are_negotiating.^Take_care_not_to_be_discovered_by_the_guards.
qstr_The_bridge_has_been_ The_bridge_has_been_successfully_cleared,_well_done!^Now_hide_on_the_other_Austrian_side_of_the_river_and_wait_for_the_negotiations_to_conclude.
qstr_You_ve_been_discover You've_been_discovered!_Quickly_kill_the_guard_before_he_raises_the_alarm!
qstr_Lannes:__..._Yes_tha Lannes:_'..._Yes,_that_is_correct,_a_truce_was_already_signed._The_war_is_over.'
qstr_Austrian_Officer:__U Austrian_Officer:_'Uhh.._Ok..._Hey!_What_is_that?_The_powder_crates_on_the_bridge_are_gone!_We've_been_tricked!_Attack!'
qstr_French_Soldier:__Loo French_Soldier:_'Look,_a_fight!_We_must_help_our_comrades._Quickly,_cross_the_bridge!'
qstr_Artillery_Captain:__ Artillery_Captain:_'The_French_are_trying_to_cross_the_bridge._Man_the_guns!'
qstr_Prevent_the_Austrian Prevent_the_Austrian_artillery_from_firing_on_the_French_crossing_the_bridge.
qstr_The_Austrians_are_la The_Austrians_are_launching_a_counter-attack!
qstr_Fight_back_the_Austr Fight_back_the_Austrian_counter-attack!
qstr_The_brigde_is_now_un The_brigde_is_now_under_firm_French_control._Well_done!
qstr_Capture_the_village_ Capture_the_village_of_Sokolnitz_from_the_Russians!
qstr_You_have_captured_th You_have_captured_the_village,_excellent_work!
qstr_Capture_the_village_o Capture_the_village_of_Sokolnitz_from_the_Russian_Army
qstr_Hold_the_village_at_ Hold_the_village_at_all_costs_against_the_Russian_counter-attacks.
qstr_Go_to_meet_the_Emper Go_to_meet_the_Emperor
qstr_Recapture_the_city_w Recapture_the_city_walls_from_the_Russians.
qstr_Help_your_allies_dri Help_your_allies_drive_back_the_Russians.
qstr_Defend_the_gate_agai Defend_the_gate_against_Russian_attacks.
qstr_Sally_out_and_rout_t Sally_out_and_rout_the_remaining_Russians.
qstr_The_assault_has_been The_assault_has_been_broken!_Vive_la_France!
qstr_Catch_the_Austrian_c Catch_the_Austrian_commander_before_he_reaches_the_Austrian_squares!
qstr_Break_the_Austrian_s Break_the_Austrian_squares_by_either_killing_them_or_making_them_all_rout.
qstr_Attack_the_lines_gua Attack_the_lines_guarding_the_village_and_destroy_or_rout_them.
qstr_Vive_l_Empereur!_La_ Vive_l'Empereur!_La_Victoire_est_a_Nous!
qstr_Talk_to_the_messenge Talk_to_the_messenger_for_your_next_mission.
