stringsfile version 1
1050
str_no_string NO_STRING!
str_credits_12 Voice_acting^^Rejenorst_Media_www.rejenorst.com^^Lead_Project_Manager_/_Sound_Editor:^Tassilo_'Rejenorst'_Egloffstein^^Regional_Project_Manager_Russia:^Nick_Redfield^^Regional_Project_Manager_United_Kingdom:^Joseph_Bracken^^Voice_Talents:^Evgen_'Chur'_Kucherov_-_Ukrainian/Russian_Voice^Vladimir_Kozubsky_-_Russian_Voice^Rebolj_Herve_-_French_Voice^Jeremy_Faucomprez_-_French_Voice^Tassilo_Egloffstein_-_German_Voice_/_Combat_voices^Joseph_Bracken_-_English_Voice_/_Combat_voices^Charlie_Bloomer_-_English_Voice^Evi_Stender_-_German_Voice^Olena_Vanina_-_Ukrainian_/_Russian_Voice^Georgina_Woodford_-_English_/_French_Voice^Samuel_Port_-_Combat_voices^^Studio_technical_support_UK:^Rich_Coomber^Krzysztof_Popiel^^^Additonal_Sounds^^GC_Sounddesign_www.svengerlach.de^^Soundesign:^Sven_Gerlach^^^Instrumental_Music^^Snare_Drum:^Mark_Beecher^^Fife:^Ed_Boyle^^Trumpet_(Bugle):^Christopher_Tolomeo^^Bagpipes:^Kenny_Sutherland^^Recorded_at_Catacombs_Studio,_Broomall,_PA_-_Mark_Beecher;_Engineer^and_BradySound_Studios,_Woodlyn,_PA_-_Greg_Brady_&_Mark_Sarro;_Engineers.^All_music_based_on_ancient_manuscripts_of_the_Napoleonic_Era,_compiled_&_^arranged_by_Mark_Beecher._^^Additional_Bagpipes:^Charlie_Hunter^^^Music^^Apollo_Symphony_Orchestra_www.classicalmusicroyaltyfree.com^Wolfgang_Amadeus_Mozart_-_Great_mass_in_C_minor_-_Gloria.^Richard_Wagner_-_Ritt_der_Valkuren.^Antonin_Dvorak_-_New_world_symphony_(4th_movement)^Ludwig_von_Beethoven_-_Symphony_No._5_(1st_movement)^Georges_Bizet_-_Toreador’s_Song_(from_Carmen)^^Neosounds.com^Ludwig_von_Beethoven:_Symphony_no.9_-_4th_Movement;_By_the_New_Age_Symphony_Orchestra^^sounddogs.com^Johann_Strauss_Sr._-_Radetzky_March;_By_Bartok_Consulting_(BMI)^Pyotr_llyrich_Tchaikovsky_-_Overture_1812;_By_Bartok_Consulting_(BMI)_^Franz_Schubert_-_Marche_Militaire;_By_Quimus_Music^^Musicloops.com^Ludwig_von_Beethoven_-_Fur_Elise;_By_Bobby_Cole^Johann_Sebastian_Bach_-_Cello_Suite_No._1;_By_Tim_Brown_^^Trackline.com^Edward_Elgar_-_Pomp_and_Circumstance_March_No._1^George_Frideric_Handel_-_The_Messiah_(Hallelujah_Chorus)_^George_Frideric_Handel_-_Queen_of_Sheba^Antonio_Vivaldi_-_Four_Seasons:_Summer_(3rd_movement)^^William_Boyce_-_Sinfonia_No._1^^Stockmusic.com^Antonio_Vivaldi_-_Four_Seasons:_Summer_(1st_+_2nd_movement)^Antonio_Vivaldi_-_Four_Seasons:_Spring_(1st_+_2nd_movement)^Antonio_Vivaldi_-_Four_Seasons:_Winter_(1st_+_3rd_movement)^Antonio_Vivaldi_-_Four_Seasons:_Autimn_(1st_movement)^Antonio_Vivaldi_-_Concerto_No._10_allegro_2^Antonio_Vivaldi_-_Concerto_flute_violin_continuo_allegro^Antonio_Vivaldi_-_Concerto_grosso_No._8_allegro^Mozart_-_Eine_Kleine_Nachtmusik^Brahms_-_Hungarian_Dance_No._5^Rimsky-Korsakov_-_The_Flight_of_the_Bumble_Bee_^Mendelssohn_-_A_Wedding_March_Recessional^Johann_Sebastian_Bach_-_Concerto_for_Two_Violins_in_D_Minor^Johann_Sebastian_Bach_-_Gavotte_^Johann_Sebastian_Bach_-_Orchestral_Suite_No._3^Strauss_-_Blue_Danube_Waltz^Boccherini_-_Minuet_^Georges_Bizet_-_Carmen_Suite_No._1,_Aragonaise_^Chopin_-_Polonaise_in_A_Major_Op_40_N1,_Military_^Geminiani_-_Concerto_Grosso_^Grieg_-_Peer_Gynt_Overture_^Grieg_-_Peer_Gynt_Suite_No_1_Op_46:_In_the_Hall_of_the_Mountain_King^Hummel_-_Rondo_^Liszt_-_Les_Preludes_^^Incompetech.com;_Performed_by_Kevin_MacLeod^Licensed_under_Creative_Commons_'Attribution_3.0'^Ludwig_von_Beethoven_-_Laendler_in_C_minor^Ludwig_von_Beethoven_-_Ecossaise_in_E-flat^Johann_Sebastian_Bach_-_Toccata_and_Fugue^Johann_Sebastian_Bach_-_Prelude_in_C^Johann_Sebastian_Bach_-_Chromatic_Fantasia_^Johann_Sebastian_Bach_-_Chromatic_Fugue_^Saint_Saens_-_Danse_Macabre^Richard_Strauss_-_Also_Sprach_Zarathustra^William_tell_-_Ranz_des_Vaches^Wagner_-_Lohengrin_^Pyotr_llyrich_Tchaikovsky_-_Waltz_Op._40^Johann_Sebastian_Bach_-_Brandenburg_concerto_no.^Pachelbel_-_Canon^Erik_Satie_-_Gymnopedie_No._3^Agnus_Dei_^Schmetterling^Tiny_Fugue^Lift_Motif^^^Contributions:^Mika'il_Yazbeck_-_Associate_Producer^Volodymyr_'Yamabushi'_Hamardiuk^Andrew_'Refleax'_Farrugia^Julian_'Rycon'_Farrugia^Sebastian_'Donald_MacDonald'_Melzer^Mark_'Spunned'_Echers^David_'Fahausi/Kabs'_Kappelhoff^Ralf_'Fortune'_van_Daal^Christian_'Condoz'_Gruber^Aitor_'Leberecht'_Jiménez^Simon_'Finguin'_B.C^Lucas_'Nexus'_Andrieu^Valentin_'Vavas'_Provost^'CKtheFat'^^^Special_Thanks_to:^Alexis_Cabaret_www.mont-saint-jean.com^Andrew_'Refleax'_Farrugia^Asger_'Deafboy'_Gronhoj^Christian_Drozdowski^Daniel_Papen^David_Liuzzo_-_Prussian_Eagle^Jeroen_van_Kalkeren^Mark_'Spunned'_Echers^Mika'il_Yazbeck^Peter_'Biteme'_Hyder^'Praetorian'^'Psiphoon'^'Shredzorz'^'Sodacan'^Tassilo_'Rejenorst'_Egloffstein^Marc_'Macs899'_Shaw^^^Community_maps_by:^'Gokiller'^Teemu_'Comrade_Temuzu'_Hepola^'KArantukki'^Levi_'Disgrntld'_Wiseman^'Ghost'^'CKtheFat'^S.Santema_'Immor'^'BigMac'^
str_credits_13 Paradox_Interactive^^CEO:^Fredrik_Wester^^CFO:^Andras_Vajlok^^CAO:^Lena_Blomberg^^EVP_Development:^Johan_Andersson^^EVP_Sales:^Reena_M_Miranda^^EVP_Publishing:^Susana_Meza^^Executive_Producer:^Mattias_Lilja^^Senior_Producer:^Gordon_Van_Dyke^^Producers:^Shams_Jorjani^Jorgen_Björklund^Staffan_Berglen^^DLC_Producer:^Jacob_Munthe^^QA_Producer:^Erika_S._Kling^^
str_credits_14 PR_Manager:^Boel_Bermann^^Marketing_Manager:^Daniela_Sjunnesson^^Product_&_Event_Manager:^Jeanette_Bauer^^Sales_Associate:^Andrew_Ciesla^Jason_Ross^Don_Louie^^Finance_&_Accounting:^Emilia_Hanssen^^Marketing_assets:^Veronica_Gunlycke^2Coats_Creations^^Localization:^S&H_Entertainment^^Packaging_&_Manual_layout:^Retrographics^^Packshots:^Martin_Doersam^^Thanks_to_all_our_partners’_worldwide,_in_particular_long-term_partners^and_last,_but_not_least,_a_special_thanks_to_all_forum_members,^operation_partners_and_supporters,_who_are_integral_for_our_success.
str_credits_15 Unused
str_mp_arabian_harbour Strafexpedition_(Day)
str_mp_arabian_harbour_night Strafexpedition_(Snow)
str_mp_arabian_village Passchendaele_(Day)
str_mp_arabian_village_conq Passchendaele_(Day)
str_mp_arabian_village_conq_morning Passchendaele_(Storm)
str_mp_ardennes Belgian_Forest_(Night)
str_mp_ardennes_morning Belgian_Forest_(Storm)
str_mp_avignon River_of_Death_(Day)
str_mp_avignon_morning River_of_Death_(Storm)
str_mp_bavarian_river Bavarian_River_(Day)
str_mp_beach_morning Beach_(Morning)
str_mp_beach_evening Beach_(Day)
str_mp_borodino War_of_Trenches_(Evening)
str_mp_borodino_morn War_of_Trenches_(Night)
str_mp_champs_elysees Champagne_(Day)
str_mp_champs_elysees_rain Champagne_(Evening)
str_mp_columbia_hill_farm Fields_of_Flanders_(Day)
str_mp_columbia_farm_morning Fields_of_Flanders_(Night)
str_mp_countryside Countryside_(Day)
str_mp_dust The_Village_(Day)
str_mp_dust_night The_Village_(Night)
str_mp_european_city_summer Siegfriedlinie_(Day)
str_mp_european_city_winter Siegfriedlinie_(Morning)
str_mp_floodplain_storm Flooplain_(Storm)
str_mp_fort_beaver Forest_Assault_(Day)
str_mp_fort_beaver_morning Forest_Assault_(Night)
str_mp_fort_boyd Fort_Boyd_(Day)
str_mp_fort_boyd_raining Fort_Boyd_(Raining)
str_mp_fort_mackinaw Fort_Mackinaw_(Day)
str_mp_fort_fleetwood Fort_Fleetwood_(Morning)
str_mp_fort_fleetwood_storm Fort_Fleetwood_(Storm)
str_mp_fort_hohenfels Fort_Hohenfels_(Day)
str_mp_fort_lyon Fort_Lyon_(Day)
str_mp_fort_lyon_night Fort_Lyon_(Night)
str_mp_fort_refleax Fort_Willsbridge_(Day)
str_mp_fort_refleax_night Fort_Willsbridge_(Night)
str_mp_fort_vincey Fort_Whittington_(Day)
str_mp_fort_vincey_storm Fort_Whittington_(Storm)
str_mp_french_farm Canal_de_Ypres_(Day)
str_mp_french_farm_storm Canal_de_Ypres_(Storm)
str_mp_german_village German_Village_(Day)
str_mp_german_village_rain German_Village_(Night)
str_mp_hougoumont Hougoumont_(Day)
str_mp_hougoumont_night Hougoumont_(Night)
str_mp_hungarian_plains Somerby_Farm_(Day)
str_mp_hungarian_plains_cloud Somerby_Farm_(Cloudy)
str_mp_theisland The_Island_(Day)
str_mp_la_haye_sainte Poelcapelle_(Day)
str_mp_la_haye_sainte_night La_Haye_Sainte_(Night)
str_mp_landshut Hill_87_(Day)
str_mp_landshut_night Hill_87_(Night)
str_mp_minden Canal_de_Nord_(Bot)
str_mp_minden_night Canal_de_Nord_(Day)
str_mp_oaksfield_day Battle_of_the_Ardennes_(Day)
str_mp_oaksfield_storm Battle_of_the_Ardennes_(Storm)
str_mp_outlaws_den Outlaw's_Den_(Day)
str_mp_quatre_bras Quatre_Bras_(Day)
str_mp_quatre_bras_night Quatre_Bras_(Night)
str_mp_river_crossing River_Crossing_(Day)
str_mp_river_crossing_morning River_Crossing_(Morning)
str_mp_roxburgh Roxburgh_(Day)
str_mp_roxburgh_raining Roxburgh_(Raining)
str_mp_russian_river_cloudy Russian_River_(Cloudy)
str_mp_russian_village Russian_Village_(Snow)
str_mp_russian_village_conq Russian_Village_(Snow)
str_mp_russian_village_conq_night Russian_Village_(Night)
str_mp_schemmerbach Schemmerbach_(Day)
str_mp_schemmerbach_storm Schemmerbach_(Storm)
str_mp_slovenian_village Slovenian_Village_(Day)
str_mp_slovenian_village_raining Slovenian_Village_(Raining)
str_mp_spanish_farm Spanish_Farm_(Day)
str_mp_spanish_farm_rain Spanish_Farm_(Raining)
str_mp_spanish_mountain_pass Hill_87_(Day)
str_mp_spanish_mountain_pass_evening Hill_87_(Night)
str_mp_spanish_village Verdun_(Day)
str_mp_spanish_village_evening Verdun_(Evening)
str_mp_strangefields Strangefields_(Fog)
str_mp_strangefields_storm Strangefields_(Storm)
str_mp_swamp baillie's_swaggy_tunnels
str_mp_venice Venice_(Day)
str_mp_walloon_farm Wallonian_Farm_(Day)
str_mp_walloon_farm_night Wallonian_Farm_(Night)
str_mp_testing_map Testing_map
str_random_multi_plain_medium Random_Plains_(Medium)
str_random_multi_plain_large Random_Plains_(Large)
str_random_multi_plain_medium_rain Random_Plains_(Medium)_Raining
str_random_multi_plain_large_rain Random_Plains_(Large)_Raining
str_random_multi_steppe_medium Random_Steppe_(Medium)
str_random_multi_steppe_large Random_Steppe_(Large)
str_random_multi_steppe_forest_medium Random_Steppe_Forest_(Medium)
str_random_multi_steppe_forest_large Random_Steppe_Forest_(Large)
str_random_multi_snow_medium Random_Snow_(Medium)
str_random_multi_snow_medium_snow Random_Snow_(Medium)_Snowing
str_random_multi_snow_large Random_Snow_(Large)
str_random_multi_snow_large_snow Random_Snow_(Large)_Snowing
str_random_multi_snow_forest_medium Random_Snow_Forest_(Medium)
str_random_multi_snow_forest_medium_snow Random_Snow_Forest_(Medium)_Snowing
str_random_multi_snow_forest_large Random_Snow_Forest_(Large)
str_random_multi_snow_forest_large_snow Random_Snow_Forest_(Large)_Snowing
str_random_multi_desert_medium Random_Desert_(Medium)
str_random_multi_desert_large Random_Desert_(Large)
str_random_multi_desert_forest_medium Random_Desert_Forest_(Medium)
str_random_multi_desert_forest_large Random_Desert_Forest_(Large)
str_random_multi_forest_medium Random_Forest_(Medium)
str_random_multi_forest_medium_rain Random_Forest_(Medium)_Raining
str_random_multi_forest_large Random_Forest_(Large)
str_random_multi_forest_large_rain Random_Forest_(Large)_Raining
str_mp_custom_map_1 custom_map_1
str_mp_custom_map_2 custom_map_2
str_mp_custom_map_3 custom_map_3
str_mp_custom_map_4 custom_map_4
str_mp_custom_map_5 custom_map_5
str_mp_custom_map_6 custom_map_6
str_mp_custom_map_7 custom_map_7
str_mp_custom_map_8 custom_map_8
str_mp_custom_map_9 custom_map_9
str_mp_custom_map_10 custom_map_10
str_mp_custom_map_11 custom_map_11
str_mp_custom_map_12 custom_map_12
str_mp_custom_map_13 custom_map_13
str_mp_custom_map_14 custom_map_14
str_mp_custom_map_15 custom_map_15
str_mp_custom_map_16 custom_map_16
str_mp_custom_map_17 custom_map_17
str_mp_custom_map_18 custom_map_18
str_mp_custom_map_19 custom_map_19
str_mp_custom_map_20 custom_map_20
str_multi_scene_end multi_scene_end
str_multi_game_type_1 Deathmatch
str_multi_game_type_2 Team_Deathmatch
str_multi_game_type_3 Battle
str_multi_game_type_5 Capture_the_Flag
str_multi_game_type_6 Conquest
str_multi_game_type_7 Siege
str_multi_game_type_8 Duel
str_multi_game_type_9 Commander_Battle
str_multi_game_type_11 Scene_Editing
str_multi_game_types_end multi_game_types_end
str_multi_game_type_10 King_of_the_Hill
str_poll_kick_player_s1_by_s0 {s0}_started_a_poll_to_kick_player_{s1}.
str_poll_ban_player_s1_by_s0 {s0}_started_a_poll_to_ban_player_{s1}.
str_poll_change_map_to_s1_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0 {s0}_started_a_poll_to_change_map_to_{s1}_and_nations_to_{s2}_and_{s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0 {s0}_started_a_poll_to_change_bot_counts_to_{reg0}_and_{reg1}.
str_poll_kick_player Poll_to_kick_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_ban_player Poll_to_ban_player_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map Poll_to_change_map_to_{s0}:_1_=_Accept,_2_=_Decline
str_poll_change_map_with_faction Poll_to_change_map_to_{s0}_and_nations_to_{s1}_versus_{s2}:_1_=_Accept,_2_=_Decline
str_poll_change_number_of_bots Poll_to_change_number_of_bots_to_{reg0}_for_{s0}_and_{reg1}_for_{s1}:_1_=_Accept,_2_=_Decline
str_poll_time_left ({reg0}_seconds_left)
str_poll_result_yes The_poll_is_accepted_by_the_majority.
str_poll_result_no The_poll_is_rejected_by_the_majority.
str_server_name Server_name:
str_game_password Game_password:
str_map Map:
str_game_type Game_type:
str_max_number_of_players Maximum_number_of_players:
str_number_of_bots_in_team_reg1 Number_of_bots_in_team_{reg1}:
str_team_reg1_faction Team_{reg1}_nation:
str_enable_valve_anti_cheat Enable_Valve_Anti-cheat_(Requires_valid_Steam_account)
str_allow_friendly_fire Allow_ranged_friendly_fire
str_allow_melee_friendly_fire Allow_melee_friendly_fire
str_friendly_fire_damage_self_ratio Friendly_fire_damage_self_(%):
str_friendly_fire_damage_friend_ratio Friendly_fire_damage_friend_(%):
str_spectator_camera Spectator_camera:
str_control_block_direction Control_block_direction:
str_map_time_limit Map_time_limit_(minutes):
str_round_time_limit Round_time_limit_(seconds):
str_players_take_control_of_a_bot_after_death Switch_to_bot_on_death:
str_team_points_limit Team_point_limit:
str_point_gained_from_flags Team_points_gained_for_flags_(%):
str_point_gained_from_capturing_flag Points_gained_for_capturing_flags:
str_respawn_period Respawn_period_(seconds):
str_add_to_official_game_servers_list Add_to_official_game_servers_list
str_combat_speed Combat_speed:
str_combat_speed_0 Slowest
str_combat_speed_1 Slower
str_combat_speed_2 Medium
str_combat_speed_3 Faster
str_combat_speed_4 Fastest
str_off Off
str_on On
str_defender_spawn_count_limit Defender_spawn_count:
str_unlimited Unlimited
str_automatic Automatic
str_by_mouse_movement By_mouse_movement
str_free Free
str_stick_to_any_player Lock_to_any_player
str_stick_to_team_members Lock_to_team_members
str_stick_to_team_members_view Lock_to_team_members'_view
str_make_factions_voteable Allow_polls_to_change_nations
str_make_kick_voteable Allow_polls_to_kick_players
str_make_ban_voteable Allow_polls_to_ban_players
str_bots_upper_limit_for_votes Bot_count_limit_for_polls:
str_make_maps_voteable Allow_polls_to_change_maps
str_valid_vote_ratio Poll_accept_threshold_(%):
str_auto_team_balance_limit Auto_team_balance_threshold_(diff.):
str_welcome_message Welcome_message:
str_initial_gold_multiplier Starting_gold_(%):
str_battle_earnings_multiplier Combat_gold_bonus_(%):
str_round_earnings_multiplier Round_gold_bonus_(%):
str_allow_player_banners Allow_individual_banners
str_force_default_armor Force_minimum_armor
str_reg0 {!}{reg0}
str_s0_reg0 {!}{s0}_{reg0}
str_s0_s1 {!}{s0}_{s1}
str_reg0_dd_reg1reg2 {!}{reg0}:{reg1}{reg2}
str_s0_dd_reg0 {!}{s0}:_{reg0}
str_respawning_in_reg0_seconds Respawning_in_{reg0}_seconds...
str_no_more_respawns_remained_this_round No_lives_left_for_this_round
str_reg0_respawns_remained ({reg0}_lives_remaining)
str_this_is_your_last_respawn (This_is_your_last_life)
str_wait_next_round (Wait_for_the_next_round)
str_yes_wo_dot Yes
str_no_wo_dot No
str_s1_returned_flag {s1}_has_returned_their_flag_to_their_base!
str_s1_auto_returned_flag {s1}_flag_automatically_returned_to_their_base!
str_s1_captured_flag {s1}_has_captured_the_enemy_flag!
str_s1_taken_flag {s1}_has_taken_the_enemy_flag!
str_s1_neutralized_flag_reg0 {s1}_has_lost_{s0}.
str_s1_captured_flag_reg0 {s1}_has_captured_{s0}!
str_s1_pulling_flag_reg0 {s1}_has_started_capturing_{s0}.
str_s1_defended_castle {s1}_defended_their_fort!
str_s1_captured_castle {s1}_captured_the_fort!
str_auto_team_balance_in_20_seconds Auto-balance_will_be_done_in_30_seconds.
str_auto_team_balance_next_round Auto-balance_will_be_done_next_round.
str_auto_team_balance_done Teams_have_been_auto-balanced.
str_s1_won_round {s1}_has_won_the_round!
str_round_draw Time_is_up._Round_draw.
str_round_draw_no_one_remained No_one_left._Round_draw.
str_reset_to_default Reset_to_Default
str_done Done
str_player_name Player_Name
str_kills Kills
str_deaths Deaths
str_ping Ping
str_dead Dead
str_reg0_dead {reg0}_Dead
str_bots_reg0_agents Bots_({reg0}_agents)
str_bot_1_agent Bot_(1_agent)
str_score Score
str_score_reg0 Score:_{reg0}
str_flags_reg0 (Flags:_{reg0})
str_reg0_players ({reg0}_Players,__{reg40}_Alive,__{reg41}_Dead)
str_reg0_player ({reg0}_Player,__{reg40}_Alive,__{reg41}_Dead)
str_reg0_alive {reg0}_Alive
str_reg0_player_only {reg0}_Player
str_reg0_players_only {reg0}_Players
str_reg0_spectator {reg0}_Spectator
str_reg0_spectators {reg0}_Spectators
str_open_gate Open_Gate
str_close_gate Close_Gate
str_open_door Open_Door
str_close_door Close_Door
str_raise_ladder Raise_Ladder
str_drop_ladder Drop_Ladder
str_back Back
str_start_map Start_Map
str_choose_an_option Choose_an_option:
str_choose_a_poll_type Choose_a_poll_type:
str_choose_faction Nation_Selection
str_choose_a_faction Choose_a_nation:
str_choose_troop Flag_Selection
str_choose_a_troop Choose_a_regiment:
str_choose_items Troop_Selection
str_choose_an_item Choose_a_rank:
str_options Options
str_redefine_keys Redefine_Keys
str_submit_a_poll Submit_a_Poll
str_show_game_rules Show_game_rules
str_administrator_panel Administrator_Panel
str_kick_player Kick_Player
str_ban_player Ban_Player_Permanently
str_mute_player Mute_Player
str_unmute_player Unmute_Player
str_quit Quit
str_poll_for_changing_the_map Change_the_map
str_poll_for_changing_the_map_and_factions Change_the_map_and_nations
str_poll_for_changing_number_of_bots Change_number_of_bots_in_teams
str_poll_for_kicking_a_player Kick_a_player
str_poll_for_banning_a_player Ban_a_player
str_choose_a_player Choose_a_player:
str_choose_a_map Choose_a_map:
str_choose_a_faction_for_team_reg0 Choose_a_nation_for_team_{reg0}:
str_choose_number_of_bots_for_team_reg0 Choose_number_of_bots_for_team_{reg0}:
str_spectator Spectator
str_spectators Spectators
str_score Score
str_command Command:
str_profile_banner_selection_text Choose_a_banner_for_your_profile:
str_use_default_banner Use_Nation's_Banner
str_player_name_s1 -_{s1}
str_space _
str_us_ Us_
str_allies_ Allies_
str_enemies_ Enemies_
str_routed Routed
str_team_reg0_bot_count_is_reg1 {!}Team_{reg0}_bot_count_is_{reg1}.
str_input_is_not_correct_for_the_command_type_help_for_more_information {!}Input_is_not_correct_for_the_command._Type_'help'_for_more_information.
str_maximum_seconds_for_round_is_reg0 Maximum_seconds_for_round_is_{reg0}.
str_respawn_period_is_reg0_seconds Respawn_period_is_{reg0}_seconds.
str_bots_upper_limit_for_votes_is_reg0 Bots_upper_limit_for_votes_is_{reg0}.
str_map_is_voteable Map_is_voteable.
str_map_is_not_voteable Map_is_not_voteable.
str_factions_are_voteable Nations_are_voteable.
str_factions_are_not_voteable Nations_are_not_voteable.
str_players_respawn_as_bot Players_respawn_as_bot.
str_players_do_not_respawn_as_bot Players_do_not_respawn_as_bot.
str_kicking_a_player_is_voteable Kicking_a_player_is_voteable.
str_kicking_a_player_is_not_voteable Kicking_a_player_is_not_voteable.
str_banning_a_player_is_voteable Banning_a_player_is_voteable.
str_banning_a_player_is_not_voteable Banning_a_player_is_not_voteable.
str_player_banners_are_allowed Player_banners_are_allowed.
str_player_banners_are_not_allowed Player_banners_are_not_allowed.
str_default_armor_is_forced Default_armor_is_forced.
str_default_armor_is_not_forced Default_armor_is_not_forced.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0 Percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_{reg0}%.
str_auto_team_balance_threshold_is_reg0 Auto_team_balance_threshold_is_{reg0}.
str_starting_gold_ratio_is_reg0 Starting_gold_ratio_is_{reg0}%.
str_combat_gold_bonus_ratio_is_reg0 Combat_gold_bonus_ratio_is_{reg0}%.
str_round_gold_bonus_ratio_is_reg0 Round_gold_bonus_ratio_is_{reg0}%.
str_point_gained_from_flags_is_reg0 Team_points_gained_for_flags_is_{reg0}%.
str_point_gained_from_capturing_flag_is_reg0 Points_gained_for_capturing_flags_is_{reg0}%.
str_map_time_limit_is_reg0 Map_time_limit_is_{reg0}_minutes.
str_team_points_limit_is_reg0 Team_point_limit_is_{reg0}.
str_defender_spawn_count_limit_is_s1 Defender_spawn_count_is_{s1}.
str_system_error SYSTEM_ERROR!
str_routed routed
str_s42 {s42}
str_s14 {!}{s14}
str_s1_reg1 {!}{s1}_({reg1})
str_s1_reg2 {!}{s1}_({reg2})
str_s1_reg3 {!}{s1}_({reg3})
str_s1_reg4 {!}{s1}_({reg4})
str_s1_reg5 {!}{s1}_({reg5})
str_s1_reg6 {!}{s1}_({reg6})
str_s1_reg7 {!}{s1}_({reg7})
str_s1_reg8 {!}{s1}_({reg8})
str_s1_reg9 {!}{s1}_({reg9})
str_reg13 {!}{reg13}
str_reg14 {!}{reg14}
str_reg15 {!}{reg15}
str_reg16 {!}{reg16}
str_reg17 {!}{reg17}
str_reg18 {!}{reg18}
str_reg19 {!}{reg19}
str_reg20 {!}{reg20}
str_reg21 {!}{reg21}
str_s40 {!}{s40}
str_s44 {!}{s44}
str_s41 {!}{s41}
str_s15 {!}{s15
str_s2_s3 {!}{s2}^{s3}
str_s1_s2 {!}{s1}_{s2}
str_s15 {!}{s15}
str_s13 {!}{s13}
str_s12 {!}{s12},
str_s12 {!}{s12}.
str_you you
str_we we
str_quick_battle_french_farm French_Farm
str_quick_battle_landshut Landshut
str_quick_battle_river_crossing River_Crossing
str_quick_battle_spanish_village Spanish_Village
str_quick_battle_strangefields Strangefields
str_quick_battle_scene_1 Hills
str_quick_battle_scene_2 Snowy_Plain
str_quick_battle_scene_3 Woodland
str_quick_battle_scene_4 Steppe
str_quick_battle_scene_6 Desert
str_map_basic Map
str_game_type_basic Game_Type
str_battle Battle
str_character Character
str_player Player
str_enemy Enemy
str_faction Nation
str_start Start
str_custom_battle Custom_Battle
str_plus +
str_minus -
str_server_name_s0 Server_Name:_{s0}
str_map_name_s0 Map_Name:_{s0}
str_game_type_s0 Game_Type:_{s0}
str_remaining_time_s0reg0_s1reg1 Remaining_Time:_{s0}{reg0}:{s1}{reg1}
str_a_duel_request_is_sent_to_s0 A_duel_offer_is_sent_to_{s0}.
str_s0_offers_a_duel_with_you {s0}_offers_a_duel_with_you.
str_your_duel_with_s0_is_cancelled Your_duel_with_{s0}_is_cancelled.
str_a_duel_between_you_and_s0_will_start_in_3_seconds A_duel_between_you_and_{s0}_will_start_in_3_seconds.
str_you_have_lost_a_duel You_have_lost_a_duel.
